14:51:32	Temperatur:	20,28	Luftdruck: 	102236,53	Dynamischer Druck: 140,79
HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	HD16	HD17	HD18	HD19	HD20	HD21	HD22	HD23	HD24	
-1.200216E-2	1.443529E-2	-2.359451E+0	-6.568177E-1	-7.235561E-1	-7.874059E-2	-8.918528E-1	-3.369893E-1	5.538110E-2	-1.284223E+0	1.379047E-2	5.717505E-4	9.599172E-3	-2.460703E-1	-2.802455E-1	-3.824487E-1	-6.843631E-3	-1.748309E-2	-1.232457E-2	4.293744E-1	-1.909513E-2	4.957775E-2	1.114801E-1	3.300727E-1
-1.451566E-1	1.153362E-2	-3.698748E-1	-1.070144E+0	-7.703052E-1	8.449585E-1	-2.654147E-1	-2.596114E-1	5.763795E-2	2.776833E+0	-4.972388E-2	-1.685105E-3	9.921580E-3	-4.711109E-1	-3.811591E-1	-2.638027E-1	-6.198815E-3	-1.683828E-2	-1.264697E-2	4.068058E-1	-1.941754E-2	-3.479511E-1	-2.154415E-1	1.230868E-1
-3.843960E-2	2.894365E-2	-5.226961E-1	-1.124309E+0	-8.834702E-1	-2.257571E+0	-6.945394E-1	-3.569785E-1	1.733696E-2	-1.989650E+0	-2.115726E-1	-7.306528E-5	7.019909E-3	-4.014708E-1	-4.630507E-1	7.537039E-2	-6.843631E-3	-1.877272E-2	-1.232457E-2	4.664513E-1	-2.102958E-2	2.043336E-1	6.859982E-2	1.337262E-1
-1.129158E-1	1.572492E-2	4.413035E-1	-8.734756E-1	-1.280676E+0	1.577793E+0	-1.180085E+0	-5.046413E-1	-9.100486E-3	5.886440E-1	4.445276E-1	-2.974736E-3	1.088880E-2	-3.363444E-1	-5.120566E-1	-4.585370E-1	-8.133263E-3	-1.812791E-2	-1.232457E-2	4.100299E-1	-2.102958E-2	3.078265E-1	2.281918E-1	1.817650E-1
3.087809E-2	1.217844E-2	1.669342E-1	-8.257593E-1	-6.207080E-1	-5.104446E-1	-1.176861E+0	-5.136687E-1	-4.456535E-2	4.696754E-1	8.665599E-1	3.473422E-3	8.954356E-3	-4.308099E-1	-4.175912E-1	-5.981395E-1	-7.166039E-3	-1.780550E-2	-1.329179E-2	-2.102958E-2	-2.328643E-2	1.230868E-1	1.446881E-1	1.691911E-1
-7.325966E-2	1.379047E-2	3.000888E-1	-7.399989E-1	-1.271649E+0	-9.959905E-1	6.499016E-1	-4.308099E-1	-1.074349E-1	-1.673369E+0	8.942870E-1	-7.178811E-4	9.921580E-3	-3.289291E-1	-2.699284E-1	-7.351628E-1	-8.455671E-3	-2.006235E-2	-1.296938E-2	-1.851352E-1	-2.393125E-2	-5.552722E-2	-3.619552E-3	1.079336E-1
1.121249E-1	3.473422E-3	-8.454262E-1	7.762724E-2	-1.244244E+0	1.628734E+0	-2.599338E-1	-3.650387E-1	-1.383860E-1	2.588223E+0	3.091162E-1	-2.329921E-3	9.276764E-3	5.086738E-2	-1.448342E-1	-7.212992E-1	-7.166039E-3	-1.877272E-2	-1.232457E-2	6.576394E-1	-2.231921E-2	2.591429E-1	1.791857E-1	1.385623E-1
-1.142055E-1	2.829883E-2	-1.889059E+0	-5.746037E-1	-9.099077E-1	-2.013831E+0	-9.798701E-1	-4.008260E-1	-2.041572E-1	-1.721407E+0	8.581773E-1	-3.954732E-4	8.309540E-3	-1.193640E-1	-3.231257E-1	-7.477366E-1	-7.488447E-3	-1.941754E-2	-1.167975E-2	1.270860E+0	-2.006235E-2	1.820874E-1	1.666118E-1	1.501690E-1
-1.428998E-1	2.797642E-2	-7.470918E-1	-2.999124E-1	-7.248457E-1	6.147591E-1	-1.406093E+0	-5.984619E-1	-2.422014E-1	3.307175E-1	4.912767E-1	-3.297144E-3	1.024399E-2	1.043871E-1	8.309540E-3	-6.000739E-1	-7.810855E-3	-1.845032E-2	-1.200216E-2	1.037436E+0	-1.716068E-2	4.116419E-1	3.313623E-1	2.265797E-1
-8.196467E-2	1.443529E-2	-1.311950E+0	-8.051252E-1	-6.600418E-1	2.820339E-1	-1.624363E+0	-6.893809E-1	-2.615458E-1	8.578549E-1	-2.167439E-2	3.151014E-3	8.309540E-3	-4.907906E-2	-1.040289E-3	-6.390853E-1	-6.843631E-3	-1.812791E-2	-1.200216E-2	8.813907E-1	-1.587105E-2	4.138988E-1	3.790787E-1	2.762306E-1
-2.102958E-2	1.572492E-2	-1.075625E+0	-9.998594E-1	-9.273177E-1	-1.760096E+0	-2.071542E+0	-9.647170E-1	-3.518200E-1	-1.944191E+0	-3.956675E-1	-3.954732E-4	6.052685E-3	-5.907371E-2	-5.876407E-3	-7.516055E-1	-8.455671E-3	-2.006235E-2	-1.393660E-2	3.922975E-1	-1.716068E-2	-4.069646E-2	7.375835E-2	1.978854E-1
1.037423E-1	2.668679E-2	-7.883600E-1	-2.609010E-1	-5.633195E-1	1.952432E+0	-1.366437E+0	-1.001149E+0	-3.160327E-1	2.348350E+0	1.840219E-1	-3.941960E-3	5.730277E-3	-1.615994E-1	-9.518339E-2	-2.412341E-1	-9.100486E-3	-1.973995E-2	-1.425901E-2	1.775737E-1	-1.716068E-2	-1.483807E-1	-8.325430E-2	9.181319E-2
1.050319E-1	1.861382E-3	5.061075E-1	-8.283385E-1	-2.779886E-1	-1.125276E+0	-1.512810E+0	-1.004695E+0	-3.473063E-1	-1.563428E+0	5.644634E-1	-1.040289E-3	4.440645E-3	-5.554000E-3	-4.230850E-2	-3.650387E-1	-9.745302E-3	-2.006235E-2	-1.361420E-2	1.343710E-1	-1.716068E-2	3.055569E-2	-1.329179E-2	6.021721E-2
-9.389376E-2	8.309540E-3	-5.104446E-1	-3.324755E-1	-4.024380E-1	-3.082950E-1	-1.810714E+0	-1.210391E+0	-3.824487E-1	2.378640E-1	1.688687E-1	-3.297144E-3	7.987132E-3	3.410217E-2	1.043871E-1	-6.616668E-2	-8.133263E-3	-2.006235E-2	-1.425901E-2	-9.279625E-1	-1.716068E-2	1.295349E-1	7.633761E-2	8.052891E-2
-9.969710E-2	1.669215E-2	-1.462836E+0	-6.880912E-1	-1.251337E+0	1.060650E+0	-1.492176E+0	-1.257463E+0	-3.618146E-1	8.597893E-1	-6.132927E-1	2.183790E-3	7.019909E-3	-5.713926E-2	-6.971317E-2	5.407869E-3	-8.133263E-3	-1.877272E-2	-1.264697E-2	-2.128623E-1	-1.716068E-2	-8.841283E-2	-4.456535E-2	3.377977E-2
-8.035263E-2	1.250084E-2	7.891687E-2	-1.174295E-1	-1.517646E+0	-2.355260E+0	-2.881751E+0	-1.467350E+0	-4.246842E-1	-1.899054E+0	-5.965275E-1	-1.040289E-3	6.052685E-3	-2.776662E-1	-6.648909E-2	-2.554329E-2	-7.488447E-3	-1.941754E-2	-1.361420E-2	-4.714333E-1	-1.877272E-2	-5.554000E-3	-2.747774E-2	3.152291E-2
1.037423E-1	1.830419E-2	7.385638E-1	3.113730E-1	-9.859958E-1	1.297298E+0	-2.031241E+0	-1.554400E+0	-3.866400E-1	2.510200E+0	-3.605250E-1	-3.619552E-3	6.697501E-3	-2.318843E-1	-1.064677E-1	-4.069646E-2	-9.100486E-3	-1.973995E-2	-1.425901E-2	-3.279618E-1	-1.845032E-2	1.259884E-1	7.537039E-2	6.279648E-2
-9.195931E-2	6.052685E-3	8.439781E-2	1.430761E-1	-9.634273E-1	-3.024916E-1	-1.495077E+0	-1.489274E+0	-4.150119E-1	-1.791047E+0	-2.489719E-1	-1.362697E-3	5.407869E-3	-1.387085E-1	2.506198E-3	-3.457071E-2	-9.422894E-3	-1.877272E-2	-1.425901E-2	-2.818575E-1	-2.102958E-2	1.656446E-1	1.295349E-1	9.471486E-2
1.050319E-1	2.828606E-3	-9.969577E-1	6.247537E-1	-6.838999E-1	-1.225222E+0	-1.487662E+0	-1.498301E+0	-4.424166E-1	4.226038E-1	-6.590745E-1	-4.586776E-3	7.664724E-3	1.337262E-1	1.314566E-2	-1.490383E-2	-9.745302E-3	-2.006235E-2	-1.490383E-2	-1.209760E-1	-2.264162E-2	2.765401E-2	4.796571E-2	1.001958E-1
1.053543E-1	-2.329921E-3	-8.164095E-1	1.008406E-1	-3.211913E-1	1.836043E+0	-1.580515E+0	-1.474766E+0	-4.082414E-1	6.856889E-1	-1.269070E+0	2.183790E-3	5.730277E-3	2.178747E-1	-2.476823E-1	-1.622442E-1	-1.103493E-2	-1.909513E-2	-1.458142E-2	-8.905764E-2	-2.328643E-2	-2.015780E-1	-1.303258E-1	1.314566E-2
-7.970781E-2	6.375093E-3	-1.999659E-1	3.149195E-1	4.854734E-1	-1.753003E+0	-2.311413E+0	-1.517323E+0	-5.004500E-1	-1.872939E+0	-9.721323E-1	-3.954732E-4	5.730277E-3	1.192179E-1	-1.348396E-1	-8.454393E-2	-9.422894E-3	-1.941754E-2	-1.361420E-2	-6.326371E-1	-2.360884E-2	-3.518200E-1	-2.950762E-1	-9.357135E-2
-1.493479E-1	1.861382E-3	-2.418790E-1	-1.628890E-1	-2.908978E-2	3.519964E-1	-1.729467E+0	-1.652090E+0	-4.811055E-1	2.439592E+0	-1.748167E+0	-2.329921E-3	7.664724E-3	2.958846E-2	8.568744E-2	-2.238241E-1	-7.488447E-3	-1.909513E-2	-1.361420E-2	-1.262944E+0	-2.264162E-2	-3.099070E-1	-3.111966E-1	-1.709492E-1
-1.425773E-1	3.473422E-3	-5.501008E-1	-6.068575E-2	-3.643939E-1	5.012714E-1	-2.364287E+0	-1.723664E+0	-5.194720E-1	-1.652090E+0	-1.224900E+0	2.493426E-4	7.019909E-3	-1.783646E-1	-4.264368E-3	-1.345171E-1	-7.488447E-3	-1.909513E-2	-1.329179E-2	-1.359989E+0	-2.199680E-2	-2.315619E-1	-2.631579E-1	-2.125398E-1
-7.712855E-2	2.217308E-2	-1.258121E-1	-1.216208E-1	-3.476287E-1	-1.977076E+0	-1.916141E+0	-1.761708E+0	-5.707348E-1	3.200781E-1	-7.316163E-1	-3.941960E-3	8.631948E-3	-3.643939E-1	4.603127E-2	-1.902937E-1	-7.488447E-3	-1.877272E-2	-1.264697E-2	-1.029843E+0	-2.006235E-2	-3.760006E-1	-3.540769E-1	-2.573545E-1
-4.746703E-2	6.052685E-3	-3.234481E-1	-5.330132E-1	-7.744965E-1	1.879890E+0	5.051403E-1	-1.504749E+0	-5.017396E-1	9.571566E-1	7.772528E-1	2.828606E-3	7.664724E-3	-2.770214E-1	-2.396221E-1	-3.763230E-1	-8.133263E-3	-2.038476E-2	-1.329179E-2	-1.112380E+0	-1.877272E-2	-3.176448E-1	-3.318307E-1	-2.892729E-1
3.829348E-2	9.599172E-3	-6.103910E-1	-2.870160E-1	-3.837384E-1	-8.825030E-1	-5.339804E-1	-1.241987E+0	-5.875000E-1	-2.008995E+0	-4.456535E-2	-3.954732E-4	6.052685E-3	-2.077037E-1	-2.908849E-1	-3.821263E-1	-7.166039E-3	-2.006235E-2	-1.425901E-2	-1.459290E+0	-1.845032E-2	-2.950762E-1	-3.173224E-1	-3.034588E-1
3.635903E-2	8.941584E-4	-9.237712E-1	2.894365E-2	-4.598266E-1	-5.768606E-1	-1.064986E+0	-1.241987E+0	-5.729917E-1	2.337711E+0	-1.686924E-1	-3.297144E-3	6.697501E-3	-1.380636E-1	-2.509064E-1	-3.511752E-1	-7.488447E-3	-2.006235E-2	-1.361420E-2	-9.269953E-1	-1.748309E-2	-2.376877E-1	-2.702508E-1	-2.763766E-1
-9.679543E-2	1.572492E-2	-5.465543E-1	-4.156567E-1	6.763260E-2	1.294396E+0	-5.710573E-1	-1.085620E+0	-5.688004E-1	-1.631133E+0	3.178212E-1	-3.954732E-4	7.342317E-3	-2.015780E-1	-2.734749E-1	-4.701436E-1	-8.133263E-3	-1.812791E-2	-1.361420E-2	-6.465007E-1	-1.716068E-2	-2.115726E-1	-2.344636E-1	-2.696060E-1
-1.067901E-1	1.121121E-2	-1.500881E+0	-6.951842E-1	-6.777872E-2	-2.329145E+0	-1.922282E-1	-9.502086E-1	-6.032980E-1	3.723082E-1	-1.084021E-1	-3.297144E-3	1.024399E-2	-3.202240E-1	-2.170536E-1	-3.408581E-1	-7.810855E-3	-1.941754E-2	-1.329179E-2	-6.958290E-1	-1.812791E-2	-3.031364E-1	-2.941090E-1	-2.663819E-1
7.375835E-2	5.407869E-3	-7.628898E-1	-2.944314E-1	9.407005E-2	9.810149E-1	-4.259738E-1	-8.634810E-1	-5.423630E-1	6.937491E-1	-9.263505E-1	2.828606E-3	6.697501E-3	-4.382253E-1	-3.327979E-1	-4.356460E-1	-8.133263E-3	-1.877272E-2	-1.361420E-2	-7.416109E-1	-1.780550E-2	-4.952914E-1	-4.369357E-1	-3.186120E-1
