14:44:45	Temperatur:	20,31	Luftdruck: 	102231,05	Dynamischer Druck: 1,25
HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	HD16	HD17	HD18	HD19	HD20	HD21	HD22	HD23	HD24	
-2.296403E-2	6.052685E-3	-7.454929E-2	-8.067504E-2	1.701455E-2	2.038193E+0	-3.972924E-2	3.313495E-2	-2.652328E-3	-1.035647E+0	1.643550E-1	-7.178811E-4	3.795830E-3	-8.133263E-3	2.023863E-2	6.697501E-3	-8.133263E-3	-1.812791E-2	-1.296938E-2	-3.037941E-2	-2.360884E-2	-1.329179E-2	-2.296403E-2	1.669215E-2
2.442994E-2	3.151014E-3	2.152826E-2	-1.877272E-2	-1.554864E-2	-2.281751E+0	3.151014E-3	4.409682E-2	-3.618275E-2	2.769417E+0	-3.586034E-2	-2.007513E-3	7.342317E-3	1.733696E-2	9.599172E-3	-2.007513E-3	-6.521223E-3	-1.845032E-2	-1.232457E-2	-4.909184E-3	-2.006235E-2	-9.745302E-3	-2.554329E-2	-8.133263E-3
-6.068575E-2	7.342317E-3	-4.811184E-2	1.443657E-1	-9.100486E-3	1.795097E+0	1.346807E-2	2.410753E-2	-3.457071E-2	-5.471991E-1	4.280719E-2	-2.974736E-3	6.375093E-3	4.440645E-3	-1.685105E-3	3.151014E-3	-6.521223E-3	-1.877272E-2	-1.232457E-2	7.019909E-3	-1.651587E-2	-3.263626E-2	-3.424830E-2	-3.972924E-2
5.407869E-3	6.375093E-3	3.668144E-2	2.410753E-2	-1.716068E-2	-1.521515E+0	5.407869E-3	5.892758E-2	-4.746703E-2	-1.672401E+0	8.504263E-2	-1.040289E-3	3.151014E-3	8.941584E-4	4.763053E-3	1.282325E-2	-6.521223E-3	-1.877272E-2	-1.329179E-2	-3.553793E-2	-1.877272E-2	-1.685105E-3	-2.135199E-2	-1.877272E-2
-1.232457E-2	3.473422E-3	-2.651051E-2	-6.842354E-2	-6.198815E-3	9.500637E-1	-3.650516E-2	9.276764E-3	-2.038476E-2	2.363181E+0	-9.002486E-2	-3.954732E-4	6.375093E-3	1.508011E-2	1.538974E-3	-4.264368E-3	-7.488447E-3	-1.748309E-2	-1.329179E-2	-1.716068E-2	-2.070717E-2	-2.199680E-2	-2.715533E-2	6.375093E-3
1.443529E-2	7.987132E-3	-5.165833E-2	-7.068039E-2	-2.618810E-2	-7.922289E-1	-3.360349E-2	6.118444E-2	-5.810649E-2	4.861053E-2	1.669215E-2	-2.974736E-3	8.309540E-3	-5.554000E-3	1.604733E-2	-4.586776E-3	-7.166039E-3	-1.812791E-2	-1.296938E-2	-2.360884E-2	-2.231921E-2	-1.554864E-2	-3.037941E-2	1.830419E-2
1.185603E-2	8.309540E-3	1.669215E-2	2.493426E-4	-1.135734E-2	1.633878E-1	-1.941754E-2	-1.040289E-3	-1.458142E-2	-2.335593E+0	1.272781E-1	-3.954732E-4	5.730277E-3	-2.974736E-3	-1.296938E-2	-1.845032E-2	-7.488447E-3	-1.748309E-2	-1.232457E-2	1.861382E-3	-2.102958E-2	-1.554864E-2	-2.618810E-2	-1.006771E-2
-9.745302E-3	4.440645E-3	-4.037405E-2	-3.553793E-2	3.795830E-3	-8.938005E-2	2.183790E-3	6.247407E-2	-2.844496E-2	1.527820E+0	-3.908442E-2	1.216566E-3	6.375093E-3	-3.297144E-3	3.151014E-3	2.183790E-3	-7.488447E-3	-1.877272E-2	-1.329179E-2	-4.166368E-2	-1.683828E-2	-1.071253E-2	-2.425366E-2	-3.811720E-2
2.442994E-2	6.052685E-3	8.181855E-2	6.021721E-2	-2.457607E-2	-6.084565E-1	1.216566E-3	1.121121E-2	-6.229779E-2	6.744046E-1	-1.100142E-1	-4.586776E-3	9.921580E-3	2.668679E-2	1.861382E-3	2.088345E-2	-7.810855E-3	-1.877272E-2	-1.329179E-2	-2.522088E-2	-1.845032E-2	-3.619552E-3	-1.651587E-2	-1.071253E-2
-3.811720E-2	7.987132E-3	-8.067504E-2	-1.051780E-1	-2.425366E-2	5.825182E-1	-1.522624E-2	5.602591E-2	-5.004629E-2	-2.675088E+0	-2.025452E-1	-1.685105E-3	7.019909E-3	1.701455E-2	1.508011E-2	-2.296403E-2	-8.455671E-3	-1.748309E-2	-1.329179E-2	-3.070182E-2	-2.006235E-2	-1.361420E-2	-2.231921E-2	5.407869E-3
1.185603E-2	-7.178811E-4	7.053427E-2	1.485570E-1	-4.166368E-2	-1.364180E+0	2.346271E-2	2.765401E-2	-2.586570E-2	8.014334E-1	1.217844E-2	3.473422E-3	5.730277E-3	1.862659E-2	-2.329921E-3	1.185603E-2	-9.100486E-3	-1.941754E-2	-1.264697E-2	-3.843960E-2	-2.264162E-2	-2.876737E-2	-3.586034E-2	2.539716E-2
-3.070182E-2	4.763053E-3	-9.745302E-3	8.923393E-2	7.987132E-3	1.251516E+0	8.309540E-3	4.216237E-2	-3.682757E-2	1.226690E+0	-7.648373E-2	-4.264368E-3	4.440645E-3	9.599172E-3	2.120586E-2	-1.039012E-2	-8.133263E-3	-1.780550E-2	-1.264697E-2	1.121121E-2	-1.909513E-2	-2.393125E-2	-3.295867E-2	-2.231921E-2
1.991622E-2	4.118237E-3	-7.454929E-2	-1.216208E-1	-6.521223E-3	-1.996743E+0	2.828606E-3	3.603662E-2	-5.746167E-2	-2.244674E+0	1.895028E-1	-7.306528E-5	5.407869E-3	3.055569E-2	-3.619552E-3	7.664724E-3	-7.166039E-3	-2.038476E-2	-1.296938E-2	1.314566E-2	-1.587105E-2	-4.005164E-2	-4.714462E-2	-3.940683E-2
5.085461E-3	2.183790E-3	5.717505E-4	-2.135199E-2	1.346807E-2	1.910197E+0	-5.231592E-3	3.442458E-2	-1.780550E-2	1.147042E-1	-1.287138E-1	1.861382E-3	4.763053E-3	1.798178E-2	2.828606E-3	-7.488447E-3	-9.100486E-3	-1.877272E-2	-1.296938E-2	-4.101887E-2	-1.780550E-2	-3.392589E-2	-4.101887E-2	-3.553793E-2
4.118237E-3	1.538974E-3	-4.424295E-2	-7.035798E-2	3.473422E-3	-2.358484E+0	-4.295332E-2	4.216237E-2	-6.552187E-2	1.848616E+0	1.085784E-1	-3.297144E-3	6.052685E-3	1.862659E-2	1.185603E-2	-2.973459E-2	-8.455671E-3	-1.877272E-2	-1.264697E-2	-1.393660E-2	-1.877272E-2	-2.586570E-2	-4.295332E-2	-7.178811E-4
-2.973459E-2	4.440645E-3	1.217844E-2	3.281254E-2	3.377977E-2	1.886661E+0	-3.586034E-2	1.765937E-2	-3.682757E-2	-1.609532E+0	-1.113038E-1	-7.178811E-4	4.763053E-3	-1.040289E-3	-5.554000E-3	-1.232457E-2	-9.422894E-3	-1.748309E-2	-1.329179E-2	-2.231921E-2	-2.264162E-2	-1.393660E-2	-2.683292E-2	8.954356E-3
2.828606E-3	3.795830E-3	8.309540E-3	3.958311E-2	-4.101887E-2	-1.702063E+0	-3.297144E-3	5.054498E-2	-2.908978E-2	-6.136151E-1	-3.954732E-4	5.717505E-4	4.763053E-3	-7.810855E-3	2.088345E-2	-5.554000E-3	-8.455671E-3	-1.973995E-2	-1.200216E-2	-2.328643E-2	-1.812791E-2	-1.167975E-2	-2.683292E-2	-1.748309E-2
9.599172E-3	-3.954732E-4	4.570886E-2	3.797107E-2	7.664724E-3	1.175105E+0	-7.488447E-3	7.019909E-3	-2.651051E-2	2.491178E+0	2.894365E-2	-3.297144E-3	5.407869E-3	2.506198E-3	-1.393660E-2	1.862659E-2	-9.422894E-3	-1.909513E-2	-1.264697E-2	-1.877272E-2	-1.651587E-2	-9.745302E-3	-1.748309E-2	-3.553793E-2
6.052685E-3	4.763053E-3	-3.811720E-2	1.088880E-2	-5.036870E-2	-9.701979E-1	1.861382E-3	6.892223E-2	-7.551651E-2	-8.870167E-1	1.917597E-1	-3.297144E-3	6.052685E-3	1.411288E-2	1.216566E-3	-1.135734E-2	-8.455671E-3	-1.845032E-2	-1.361420E-2	4.763053E-3	-1.716068E-2	-1.425901E-2	-2.554329E-2	-1.780550E-2
9.921580E-3	8.941584E-4	3.410217E-2	2.249549E-2	-1.587105E-2	3.735978E-1	7.987132E-3	1.024399E-2	-2.747774E-2	-1.386426E+0	8.278577E-2	-1.040289E-3	5.407869E-3	-9.745302E-3	1.475770E-2	3.473422E-3	-9.100486E-3	-1.780550E-2	-1.329179E-2	-3.102422E-2	-2.006235E-2	-1.135734E-2	-2.264162E-2	1.153362E-2
5.717505E-4	-1.685105E-3	4.474163E-2	1.121249E-1	-9.422894E-3	-2.783110E-1	2.088345E-2	6.795501E-2	-4.037405E-2	2.624978E+0	-3.037941E-2	-2.007513E-3	6.052685E-3	2.668679E-2	3.151014E-3	-7.306528E-5	-9.100486E-3	-1.941754E-2	-1.264697E-2	-2.715533E-2	-2.360884E-2	-2.586570E-2	-3.553793E-2	1.314566E-2
1.862659E-2	2.828606E-3	3.732625E-2	3.345736E-2	-1.812791E-2	-4.150119E-1	-8.778079E-3	6.697501E-3	-5.552722E-2	-2.405893E-1	3.152291E-2	-2.974736E-3	6.052685E-3	5.717505E-4	-1.006771E-2	1.701455E-2	-8.778079E-3	-1.877272E-2	-1.329179E-2	-2.006235E-2	-1.909513E-2	-1.425901E-2	-2.618810E-2	-1.135734E-2
1.830419E-2	4.440645E-3	-1.651587E-2	1.475770E-2	1.669215E-2	4.135764E-1	-4.264368E-3	6.021721E-2	-4.069646E-2	-1.999000E+0	7.956169E-2	-1.685105E-3	7.019909E-3	2.958846E-2	7.987132E-3	9.921580E-3	-9.100486E-3	-1.780550E-2	-1.264697E-2	-1.200216E-2	-1.716068E-2	-2.070717E-2	-3.037941E-2	-4.359813E-2
-6.521223E-3	2.493426E-4	7.019909E-3	4.409682E-2	-5.554000E-3	-1.197818E+0	-2.974736E-3	2.120586E-2	-4.843425E-2	1.956623E+0	-4.940147E-2	8.941584E-4	6.052685E-3	1.216566E-3	9.276764E-3	8.631948E-3	-8.133263E-3	-1.941754E-2	-1.361420E-2	-1.458142E-2	-1.812791E-2	-2.618810E-2	-3.392589E-2	-1.554864E-2
-2.393125E-2	4.440645E-3	7.279112E-2	-3.297144E-3	4.280719E-2	1.083863E+0	7.987132E-3	5.215702E-2	-6.552187E-2	3.516740E-1	-2.070717E-2	-5.231592E-3	6.375093E-3	-1.296938E-2	1.314566E-2	-3.619552E-3	-8.455671E-3	-1.748309E-2	-1.329179E-2	-1.877272E-2	-2.038476E-2	-2.006235E-2	-3.166904E-2	-2.007513E-3
1.475770E-2	4.440645E-3	-6.423224E-2	-1.229105E-1	-2.328643E-2	-1.844889E+0	-3.650516E-2	2.926605E-2	-5.520481E-2	-2.572240E+0	-2.128623E-1	-1.362697E-3	3.795830E-3	1.216566E-3	5.717505E-4	-2.006235E-2	-9.422894E-3	-1.877272E-2	-1.232457E-2	-3.070182E-2	-2.393125E-2	-2.006235E-2	-3.424830E-2	1.991622E-2
